Data Lanc.;Descrição;Valor;Saldo
2023-08-29;"TRF. P/O  JORGE FERREIRA CARDOSO, UNI";"4 800,00";"10 826,09"
2023-08-29;VIS PAGAMENTO CARTAO CREDITO;"-729,76";"10 096,33"
2023-09-04;TRF P/ Igreja Baptista de Coimbra;-480;"9 616,33"
2023-09-05;PAG SERV 21056/509335691 INSTITUTO GESTAO FINAN;"-142,6";"9 473,73"
2023-09-06;COMPRA 8843 HOSPITAL CUF COIMBRACOI CONTACTLESS;-75;"9 398,73"
2023-09-06;COMPRA 8843 RESTAURANTE .COME CONDE CONTACTLESS;"-34,5";"9 364,23"
2023-09-07;COMPRA 8843 ZARA QUINTA DO VALE GEM CONTACTLESS;"-20,4";"9 343,83"
2023-09-07;COMPRA 8843 JEAN LOUIS DAVID A.J.B. CONTACTLESS;"-30,5";"9 313,33"
2023-09-07;TRF P/ Maria Albertina da Costa Neves Pimentel;-220;"9 093,33"
2023-09-08;Comissão Transferência a crédito SEPA+ Em Linha;"-1,6";"9 091,73"
2023-09-08;IMP.  SELO  COM. TRANSFERENCIA (À TAXA DE 4%);"-0,06";"9 091,67"
2023-09-08;COMPRA 8843 CONTINENTE BOM DIA CONDEIXA-A-NOVA;"-31,1";"9 060,57"
2023-09-08;COMPRA 8843 CTT - CORREIOS CONDEIXA;"-4,7";"9 055,87"
2023-09-08;COMPRA 8843 Mi Store Coimbra Matosi CONTACTLESS;"-39,98";"9 015,89"
2023-09-11;COMPRA 8843 Q SABOR HAMB 3150-230 CONDEIXA;"-39,95";"8 975,94"
2023-09-11;LEV ATM 8843 CGD   Condeixa-A-No Mercado Munici;-40;"8 935,94"
2023-09-11;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-38,91";"8 897,03"
2023-09-11;COMPRA 8843 SABORES MONDEGO RESTCOI CONTACTLESS;"-25,3";"8 871,73"
2023-09-11;COMPRA 8843 BERSHKA COIMBRA         CONTACTLESS;"-12,99";"8 858,74"
2023-09-11;COMPRA 8843 LEFTIES COIMBRA         CONTACTLESS;"-18,14";"8 840,60"
2023-09-11;COMPRA 8843 PULL E BEAR COIMBRA     CONTACTLESS;"-35,99";"8 804,61"
2023-09-11;TRF P/ Marcley Carvalho;-200;"8 604,61"
2023-09-12;COMPRA 8843 MERCADO TERRITORIAL 3000-141 COIMBR;"-12,8";"8 591,81"
2023-09-12;COMPRA 8843 KAJU COIMBRA            CONTACTLESS;"-10,2";"8 581,61"
2023-09-12;COMPRA 8843 INTER CONDEIXA 3150-110 C A NOVA;"-30,5";"8 551,11"
2023-09-12;Comissão Transferência a crédito SEPA+ Em Linha;"-1,6";"8 549,51"
2023-09-12;IMP.  SELO  COM. TRANSFERENCIA (À TAXA DE 4%);"-0,06";"8 549,45"
2023-09-13;COMPRA 8843 WILSON BARBER SHOP SOUR CONTACTLESS;-13;"8 536,45"
2023-09-14;COMPRA 8843 CLIMAG. LDA 3030-175 COIMBRA;-92;"8 444,45"
2023-09-14;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-30,81";"8 413,64"
2023-09-14;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-4,75";"8 408,89"
2023-09-15;LEV ATM 8843 BESCL Condeixa-A-No Av. Visconde d;-10;"8 398,89"
2023-09-15;LEV ATM 8843 BTA   CONDEIXA-A-NO Continente BD;-10;"8 388,89"
2023-09-15;TRF P/ Luiz Piauhylino de Mello Monteiro Neto;-300;"8 088,89"
2023-09-15;COMPRA 8843 RESTAURANTE .COME CONDE CONTACTLESS;"-30,5";"8 058,39"
2023-09-15;LEV ATM 8843 CGD   CONDEIXA VELH Minipreco - Co;-50;"8 008,39"
2023-09-18;COMPRA 8843 INTER CONDEIXA 3150-110 C A NOVA;"-47,2";"7 961,19"
2023-09-18;LEV ATM 8843 BPI   Coimbra       Coimbra Forum;-10;"7 951,19"
2023-09-18;Comissão Transferência a crédito SEPA+ Em Linha;"-1,6";"7 949,59"
2023-09-18;IMP.  SELO  COM. TRANSFERENCIA (À TAXA DE 4%);"-0,06";"7 949,53"
2023-09-18;COMPRA 8843 Restaurante Tinella Con CONTACTLESS;"-40,4";"7 909,13"
2023-09-18;COMPRA 8843 LAB AN LISES CL NICACONDEIXA;"-393,6";"7 515,53"
2023-09-18;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-99,8";"7 415,73"
2023-09-18;TRF MB WAY P/ *****0584;-6;"7 409,73"
2023-09-18;TRF MB WAY P/ *****5869;"-8,6";"7 401,13"
2023-09-18;COMPRA 8843 ADHOC GIM CONDEIXA A NO CONTACTLESS;"-39,9";"7 361,23"
2023-09-19;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-6,16";"7 355,07"
2023-09-19;COMPRA 8843 RETRO O FIO A MEADA CON CONTACTLESS;-11;"7 344,07"
2023-09-19;PAG.IGCP -104223005857547;"-1 175,00";"6 169,07"
2023-09-19;COMPRA 8843 ANTONIO MANUEL 3150-140 COND A NOVA;"-2,69";"6 166,38"
2023-09-20;COMPRA 8843 HOSPITAL CUF COIMBRACOI CONTACTLESS;-35;"6 131,38"
2023-09-20;COMPRA 8843 H3 FORUM COIMBRA COIMBR CONTACTLESS;"-23,9";"6 107,48"
2023-09-20;COMPRA 8843 MARGEM ESTAVEL COIMBRA  CONTACTLESS;"-30,92";"6 076,56"
2023-09-20;COMPRA 8843 CONTINENTE 3044-520 COI CONTACTLESS;"-6,18";"6 070,38"
2023-09-20;COMPRA 8843 CELEIRO FORUM COIMBRCOI CONTACTLESS;"-8,07";"6 062,31"
2023-09-21;"COMPRA 8843 INTERCONDEIXA, LDA CONDEIXA";"-8,93";"6 053,38"
2023-09-21;"COMPRA 8843 FERNANDA SIMOES, LDA3150-225 C. A V";"-8,5";"6 044,88"
2023-09-22;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-24,77";"6 020,11"
2023-09-25;COMPRA 8843 LIU XIAOFENG COIMBRA    CONTACTLESS;"-11,45";"6 008,66"
2023-09-25;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-11,03";"5 997,63"
2023-09-25;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-4,48";"5 993,15"
2023-09-25;COMPRA 8843 ESP ANDRE ANOBRA;-24;"5 969,15"
2023-09-25;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-7,32";"5 961,83"
